                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.01069,                      1,                      1,                0.90771,              0.0002404,              0.0002404,              0.0002404
                     69,                0.00538,                      1,                      1,                0.90625,             0.00023334,             0.00023334,             0.00023334
                     70,                 0.0045,                      1,                      1,                0.90479,             0.00022627,             0.00022627,             0.00022627
                     71,                 0.0097,                      1,                      1,                0.90527,              0.0002192,              0.0002192,              0.0002192
                     72,                0.00875,                      1,                      1,                0.92139,             0.00021213,             0.00021213,             0.00021213
                     73,                0.00582,                      1,                      1,                0.91602,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00226,                      1,                      1,                 0.9165,             0.00019799,             0.00019799,             0.00019799
                     75,                0.00428,                      1,                      1,                0.90771,             0.00019092,             0.00019092,             0.00019092
                     76,                0.00541,                      1,                      1,                0.90625,             0.00018385,             0.00018385,             0.00018385
                     77,                0.00921,                      1,                      1,                0.90479,             0.00017679,             0.00017679,             0.00017679
                     78,                0.00441,                    0.8,                      1,                 1.1006,             0.00016972,             0.00016972,             0.00016972
                     79,                0.00638,                      1,                      1,                0.92529,             0.00016265,             0.00016265,             0.00016265
                     80,                0.00407,                      1,                      1,                0.92236,             0.00015558,             0.00015558,             0.00015558
                     81,                0.00366,                      1,                      1,                0.91406,             0.00014851,             0.00014851,             0.00014851
                     82,                0.00387,                      1,                      1,                0.90918,             0.00014144,             0.00014144,             0.00014144
                     83,                 0.0046,                      1,                      1,                 0.9209,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00405,                      1,                      1,                0.90674,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00354,                      1,                      1,                0.90576,             0.00012024,             0.00012024,             0.00012024
                     86,                0.00769,                      1,                      1,                0.90674,             0.00011317,             0.00011317,             0.00011317
                     87,                0.00307,                      1,                      1,                0.90625,              0.0001061,              0.0001061,              0.0001061
